age,income,credit_score,loan_amount,loan_purpose,employment_years,debt_ratio,num_credit_lines,marital_status,education,loan_approved
41,58840,834,29791,Education,20,0.26,3,Single,High School,Approved
28,63737,739,110806,Business,10,0.33,5,Married,Bachelor,Rejected
68,90201,824,137721,Personal,40,0.32,14,Divorced,High School,Rejected
34,67578,793,149544,Education,14,0.16,3,Single,Bachelor,Approved
25,53939,850,95721,Personal,5,0.28,10,Married,Master,Approved
52,67320,691,32134,Business,31,0.53,9,Divorced,High School,Approved
52,98177,698,148516,Business,30,0.5,10,Married,Bachelor,Rejected
50,74894,687,134326,Auto,28,0.36,4,Married,Bachelor,Rejected
22,52701,736,43217,Personal,2,0.34,7,Married,Bachelor,Rejected
59,89185,850,136067,Home,40,0.33,4,Single,High School,Rejected
56,106306,774,41189,Auto,34,0.39,3,Single,Bachelor,Approved
58,91988,788,123903,Personal,37,0.37,10,Single,High School,Approved
45,89967,796,32284,Education,23,0.4,1,Divorced,Master,Approved
24,32267,716,29698,Personal,3,0.43,14,Divorced,High School,Rejected
26,34144,848,24637,Education,6,0.17,12,Married,Bachelor,Approved
25,48196,813,65405,Education,3,0.3,9,Single,Bachelor,Approved
29,74298,699,66305,Business,8,0.38,13,Married,PhD,Approved
51,74312,743,38556,Home,31,0.21,11,Single,High School,Approved
50,70120,834,87176,Personal,31,0.25,1,Single,High School,Approved
65,81233,818,125644,Home,40,0.32,11,Married,High School,Rejected
72,101877,758,102012,Education,40,0.32,13,Divorced,High School,Rejected
40,48737,711,8654,Business,21,0.38,1,Divorced,High School,Approved
41,69869,760,45428,Home,23,0.22,1,Married,Bachelor,Approved
54,71017,739,134814,Auto,32,0.5,14,Single,High School,Rejected
52,71688,830,100379,Education,31,0.32,5,Single,High School,Rejected
61,111232,832,70355,Auto,40,0.37,7,Single,Master,Approved
57,84908,836,51257,Home,39,0.29,7,Married,High School,Approved
39,61521,728,118435,Home,19,0.39,10,Married,High School,Rejected
44,71198,796,110866,Home,23,0.6,1,Single,High School,Rejected
52,130713,791,25311,Personal,33,0.29,6,Married,PhD,Approved
18,20000,727,117695,Education,0,0.27,9,Single,High School,Rejected
52,114801,742,59478,Education,34,0.23,6,Single,Master,Approved
54,101918,761,13738,Education,35,0.34,4,Married,Bachelor,Approved
64,83376,816,78424,Personal,40,0.34,10,Single,High School,Approved
31,109676,659,67232,Home,12,0.36,9,Married,PhD,Approved
20,40876,656,113400,Home,0,0.42,13,Divorced,High School,Rejected
18,28169,683,10474,Auto,0,0.4,3,Married,High School,Approved
22,55540,690,64026,Personal,1,0.35,13,Single,Master,Rejected
43,99014,628,71024,Business,25,0.64,10,Single,Bachelor,Rejected
72,104809,828,55974,Personal,40,0.45,4,Married,Bachelor,Approved
31,44350,707,10622,Auto,9,0.19,4,Single,High School,Approved
56,101224,850,102366,Auto,37,0.12,4,Single,Bachelor,Approved
44,104031,818,44214,Auto,24,0.25,6,Married,Bachelor,Approved
26,33834,702,98184,Home,4,0.37,13,Married,High School,Rejected
32,44763,766,103233,Business,10,0.23,11,Married,High School,Approved
32,38189,769,26865,Auto,11,0.26,11,Single,High School,Approved
43,63605,790,48026,Education,25,0.35,7,Married,High School,Approved
59,109686,850,94037,Home,40,0.3,14,Single,Master,Rejected
30,54892,765,148488,Business,12,0.05,9,Single,Bachelor,Approved
68,116900,702,30775,Education,40,0.51,14,Married,PhD,Approved
49,83815,687,24374,Business,30,0.48,11,Married,High School,Approved
56,103567,836,63451,Business,38,0.16,3,Divorced,Bachelor,Approved
66,92391,771,87141,Education,40,0.36,8,Married,High School,Approved
69,89475,850,20684,Personal,40,0.18,8,Divorced,High School,Approved
49,77217,763,29002,Business,31,0.26,1,Divorced,High School,Approved
21,49191,660,96551,Personal,2,0.42,5,Married,High School,Rejected
47,77812,690,135704,Business,27,0.47,13,Married,Bachelor,Rejected
54,125783,746,11309,Education,32,0.47,10,Married,PhD,Approved
40,76229,792,89675,Business,19,0.39,5,Divorced,Bachelor,Rejected
56,96919,719,73326,Auto,37,0.54,12,Married,High School,Approved
62,94386,787,12826,Auto,40,0.26,8,Single,High School,Approved
32,51389,708,148206,Business,11,0.29,8,Married,High School,Rejected
60,90917,850,126840,Education,39,0.05,12,Single,Bachelor,Approved
46,77410,680,140126,Education,27,0.34,2,Married,Bachelor,Rejected
53,100831,739,110985,Home,35,0.44,3,Single,Master,Rejected
30,21741,764,20569,Education,11,0.39,2,Married,High School,Rejected
49,92471,786,11508,Personal,29,0.26,1,Divorced,Bachelor,Approved
24,46883,664,94059,Business,3,0.48,2,Single,Bachelor,Rejected
68,108990,827,102475,Auto,40,0.34,10,Single,Bachelor,Approved
39,76854,664,135447,Education,21,0.46,6,Single,Bachelor,Rejected
45,86404,653,135819,Auto,26,0.42,12,Married,Bachelor,Rejected
19,58381,677,115648,Home,0,0.56,1,Single,Bachelor,Rejected
59,90072,718,29520,Business,40,0.4,6,Single,High School,Approved
62,111689,767,35932,Education,40,0.44,1,Single,Bachelor,Approved
74,86977,803,24734,Auto,40,0.34,2,Married,High School,Approved
70,113247,835,74363,Education,40,0.27,8,Single,Bachelor,Approved
23,40103,696,55555,Home,5,0.42,14,Married,Bachelor,Rejected
45,61124,722,21257,Auto,23,0.58,6,Single,Bachelor,Rejected
45,121566,755,98550,Auto,27,0.26,9,Married,Master,Approved
61,136863,836,58219,Business,39,0.31,1,Single,Master,Approved
61,100544,724,138931,Business,40,0.35,5,Married,Master,Rejected
37,68638,778,44840,Auto,16,0.45,7,Single,Bachelor,Approved
47,86999,850,102392,Business,27,0.4,9,Married,Bachelor,Approved
28,65729,701,64327,Auto,9,0.49,14,Divorced,Bachelor,Approved
72,137392,792,118827,Personal,40,0.65,11,Divorced,Master,Rejected
45,68885,850,39819,Education,23,0.25,9,Married,Bachelor,Approved
42,94923,714,90621,Personal,20,0.44,4,Married,PhD,Approved
56,116988,766,106272,Personal,38,0.4,13,Married,Master,Approved
50,83364,728,46704,Education,32,0.35,4,Married,Bachelor,Approved
18,20000,657,65379,Auto,0,0.44,4,Single,High School,Rejected
74,87727,829,85987,Auto,40,0.31,3,Married,High School,Approved
44,101575,664,116561,Business,22,0.4,8,Married,Master,Rejected
74,89795,850,10274,Home,40,0.15,5,Single,High School,Approved
69,126240,831,101462,Auto,40,0.27,7,Single,Master,Approved
30,66310,726,24046,Education,11,0.51,10,Single,Bachelor,Approved
58,88730,727,79210,Home,36,0.5,6,Married,Bachelor,Approved
20,63680,746,123724,Education,2,0.39,14,Single,Master,Rejected
56,86748,811,147575,Education,38,0.28,9,Single,Bachelor,Approved
23,44380,717,53392,Education,3,0.47,14,Single,Bachelor,Rejected
25,51504,721,66472,Home,4,0.54,3,Married,Bachelor,Rejected
44,65988,716,75904,Personal,24,0.29,6,Married,High School,Rejected
26,39590,764,94063,Education,5,0.13,3,Single,Bachelor,Approved
54,71610,850,50335,Business,35,0.42,2,Single,High School,Approved
50,109409,739,27487,Auto,31,0.49,3,Single,Master,Approved
68,128273,684,41593,Auto,40,0.44,2,Divorced,Master,Approved
59,84930,627,80927,Auto,38,0.58,2,Married,High School,Rejected
61,100929,712,14874,Home,39,0.59,10,Married,Bachelor,Rejected
41,88812,744,59822,Business,23,0.3,11,Single,Bachelor,Approved
32,38779,693,58948,Business,11,0.38,7,Married,High School,Rejected
71,152270,850,8608,Business,40,0.28,10,Married,PhD,Approved
49,63047,796,100987,Business,31,0.2,3,Single,High School,Approved
49,86984,850,110182,Business,31,0.21,8,Single,High School,Approved
41,81891,736,32546,Personal,21,0.46,13,Single,Bachelor,Approved
58,129101,753,120999,Business,40,0.4,2,Married,Bachelor,Approved
69,93788,701,105804,Business,40,0.48,11,Divorced,Bachelor,Rejected
66,81659,718,67496,Home,40,0.73,11,Married,Bachelor,Rejected
66,117494,654,60186,Home,40,0.42,7,Married,Bachelor,Approved
69,90286,850,141302,Business,40,0.23,3,Single,Bachelor,Approved
29,51157,699,30720,Personal,10,0.51,9,Married,High School,Approved
56,94321,846,48023,Business,35,0.23,7,Married,High School,Approved
19,33797,645,72082,Business,0,0.61,9,Single,High School,Rejected
20,32321,751,20050,Business,0,0.05,2,Divorced,High School,Approved
66,109009,838,118353,Education,40,0.27,6,Single,Bachelor,Approved
54,86374,790,57164,Personal,32,0.44,5,Single,High School,Approved
66,95870,717,133470,Auto,40,0.53,14,Married,High School,Rejected
73,77834,850,35134,Business,40,0.25,2,Married,High School,Approved
34,97749,799,19284,Auto,13,0.22,4,Married,Master,Approved
66,120511,809,65526,Personal,40,0.37,4,Single,Master,Rejected
19,50183,594,139495,Business,0,0.64,8,Married,Bachelor,Rejected
19,67109,850,33577,Auto,0,0.12,13,Married,Master,Approved
45,95559,791,126867,Auto,26,0.3,7,Married,Bachelor,Rejected
71,115521,831,123247,Personal,40,0.39,13,Divorced,Bachelor,Rejected
40,62817,771,63900,Business,21,0.23,5,Married,High School,Approved
54,99674,850,89606,Education,36,0.23,9,Single,Bachelor,Approved
49,92586,757,11066,Personal,29,0.31,1,Married,Bachelor,Approved
50,102500,712,109342,Education,31,0.39,4,Single,Bachelor,Rejected
18,33873,819,13583,Business,0,0.32,5,Single,Bachelor,Approved
36,73940,564,43057,Auto,15,0.57,8,Married,Bachelor,Rejected
19,36136,846,31564,Personal,0,0.44,3,Divorced,Bachelor,Rejected
70,138512,817,66429,Personal,40,0.41,14,Single,Master,Approved
61,92173,724,103600,Personal,39,0.5,12,Married,High School,Rejected
43,72339,757,93393,Home,21,0.41,5,Single,Bachelor,Rejected
49,89787,823,120774,Business,27,0.28,3,Married,Bachelor,Approved
23,52592,724,33941,Home,5,0.31,13,Married,Bachelor,Approved
49,88398,850,42962,Personal,30,0.18,7,Married,Bachelor,Approved
72,71907,786,126410,Personal,40,0.65,10,Single,High School,Rejected
21,34758,820,63420,Education,0,0.49,3,Married,Bachelor,Rejected
72,88595,831,87415,Home,40,0.05,7,Divorced,High School,Approved
28,38616,687,87013,Auto,7,0.55,14,Married,Bachelor,Rejected
73,99128,801,124012,Business,40,0.13,2,Married,Bachelor,Approved
34,61001,667,142465,Auto,14,0.43,7,Divorced,Bachelor,Rejected
55,71705,850,125198,Auto,33,0.05,9,Single,High School,Approved
41,82723,760,38488,Business,20,0.29,12,Married,Bachelor,Approved
22,24198,686,148626,Personal,2,0.55,5,Divorced,High School,Rejected
69,120884,730,107330,Education,40,0.56,12,Single,Master,Rejected
51,101468,797,10057,Personal,30,0.4,6,Married,Master,Approved
23,76812,710,88026,Personal,2,0.47,13,Single,PhD,Rejected
39,92564,850,10305,Home,21,0.14,10,Married,Bachelor,Approved
28,61796,754,66276,Auto,10,0.43,11,Married,Bachelor,Rejected
65,93730,695,142746,Auto,40,0.48,3,Single,High School,Rejected
33,40345,621,95534,Auto,12,0.74,13,Married,High School,Rejected
50,97761,794,116045,Education,31,0.26,10,Single,Bachelor,Rejected
26,62839,755,92181,Education,8,0.35,5,Single,Bachelor,Rejected
23,66376,779,115907,Education,1,0.36,13,Single,Master,Rejected
33,35908,727,18987,Business,12,0.45,5,Divorced,High School,Approved
46,91647,753,54915,Education,25,0.48,3,Single,Master,Approved
20,60835,620,18543,Home,1,0.51,8,Divorced,Bachelor,Approved
37,60622,683,32944,Home,15,0.5,6,Married,Bachelor,Approved
53,93699,745,145216,Personal,32,0.13,13,Single,High School,Rejected
36,51536,850,114418,Personal,18,0.05,3,Married,High School,Approved
43,82482,824,43459,Personal,24,0.27,1,Married,Bachelor,Approved
20,43128,660,35741,Personal,0,0.34,10,Married,Bachelor,Rejected
36,47051,784,131077,Home,17,0.26,1,Single,High School,Approved
37,65195,766,79627,Personal,19,0.28,13,Single,Bachelor,Approved
49,93457,850,118372,Home,27,0.3,11,Single,Master,Rejected
24,68980,660,74741,Education,5,0.44,10,Single,Master,Rejected
69,128904,850,74177,Education,40,0.19,12,Single,Master,Approved
58,90831,842,8543,Business,40,0.34,2,Single,High School,Approved
50,77666,763,141663,Personal,32,0.34,10,Single,High School,Rejected
57,115603,770,61395,Education,39,0.43,5,Single,Bachelor,Approved
56,99413,780,34055,Education,36,0.52,7,Single,Bachelor,Approved
35,47071,616,11116,Auto,15,0.6,1,Single,High School,Rejected
57,74022,792,60485,Auto,36,0.24,1,Divorced,High School,Approved
18,57704,821,138479,Home,0,0.05,4,Single,Bachelor,Approved
28,37206,850,71421,Business,7,0.31,13,Married,High School,Rejected
45,63214,813,40411,Auto,26,0.11,10,Single,High School,Approved
74,83349,669,129115,Business,40,0.76,6,Divorced,High School,Rejected
42,75141,850,104772,Education,22,0.22,9,Single,High School,Approved
67,99270,803,95121,Home,40,0.43,1,Divorced,Bachelor,Approved
40,81904,822,128671,Business,18,0.49,11,Married,Bachelor,Rejected
48,83195,806,116670,Auto,27,0.4,10,Single,Bachelor,Rejected
47,59916,664,109627,Education,28,0.66,5,Divorced,High School,Approved
59,83675,778,17738,Personal,38,0.32,9,Married,High School,Approved
52,95672,769,119183,Education,34,0.22,8,Single,Bachelor,Approved
24,51348,705,20772,Auto,5,0.22,7,Married,Bachelor,Approved
33,64600,727,70270,Auto,14,0.46,13,Divorced,Bachelor,Rejected
43,58280,799,59979,Personal,21,0.32,10,Married,High School,Rejected
65,112149,850,118585,Education,40,0.22,2,Single,Master,Approved
74,90107,779,142300,Business,40,0.42,9,Married,High School,Rejected
69,110409,850,29318,Business,40,0.46,12,Married,Bachelor,Rejected
66,90374,713,63458,Education,40,0.39,13,Divorced,Bachelor,Approved
19,59490,609,149867,Business,1,0.48,8,Married,Bachelor,Rejected
18,20000,677,110856,Education,0,0.36,13,Single,High School,Rejected
65,105752,819,90184,Education,40,0.26,11,Divorced,Bachelor,Approved
29,64660,647,133789,Auto,10,0.47,10,Single,Bachelor,Rejected
22,26966,835,26747,Home,2,0.22,10,Single,High School,Approved
54,61241,789,16282,Auto,35,0.18,9,Married,High School,Approved
49,72532,670,68073,Business,29,0.52,9,Married,High School,Approved
72,121696,850,57900,Home,40,0.3,9,Single,Master,Approved
26,26012,669,25929,Education,5,0.6,3,Married,High School,Rejected
58,125198,782,40500,Business,39,0.48,7,Single,PhD,Approved
52,104127,789,6872,Personal,33,0.29,12,Married,Bachelor,Approved
36,103176,740,72505,Business,18,0.42,1,Married,PhD,Approved
65,104913,607,30460,Home,40,0.73,9,Single,Master,Rejected
33,71998,703,17155,Home,15,0.46,14,Single,Bachelor,Approved
20,20694,646,147942,Education,0,0.44,9,Single,High School,Rejected
37,50752,850,120006,Personal,19,0.26,3,Divorced,High School,Approved
41,61976,738,98928,Education,20,0.63,5,Single,High School,Rejected
71,106044,709,139789,Personal,40,0.55,12,Single,Bachelor,Rejected
73,85973,820,131075,Personal,40,0.26,13,Married,High School,Approved
50,68457,677,137446,Education,29,0.63,8,Married,High School,Rejected
41,73992,850,120138,Business,21,0.37,6,Single,Bachelor,Rejected
69,112194,850,149499,Auto,40,0.22,10,Married,Master,Approved
28,55890,742,69442,Personal,10,0.26,10,Single,High School,Rejected
66,74308,761,105671,Home,40,0.48,9,Divorced,High School,Rejected
25,32091,693,21631,Education,3,0.22,14,Single,High School,Rejected
53,91905,820,24887,Business,31,0.18,13,Single,Master,Approved
55,108360,743,30259,Personal,36,0.28,3,Married,Bachelor,Approved
57,80076,701,102932,Business,35,0.31,12,Single,High School,Rejected
37,46433,850,62987,Education,18,0.25,7,Married,High School,Approved
52,83350,792,24144,Home,31,0.28,13,Single,High School,Approved
65,67080,712,49456,Personal,40,0.49,6,Single,High School,Approved
42,94308,661,125250,Personal,21,0.39,14,Married,Master,Rejected
52,101512,785,82735,Business,30,0.27,5,Married,Bachelor,Approved
42,78295,769,16569,Education,21,0.29,4,Married,Bachelor,Rejected
46,92434,808,130294,Auto,25,0.33,5,Single,Master,Rejected
35,38578,703,88731,Personal,14,0.34,13,Single,High School,Rejected
63,115825,765,101132,Home,40,0.34,4,Single,Bachelor,Approved
35,90274,661,105497,Personal,14,0.48,3,Single,Master,Rejected
19,23546,703,32003,Personal,0,0.38,7,Married,High School,Rejected
71,98813,691,119432,Auto,40,0.38,6,Divorced,Bachelor,Rejected
52,88367,668,107486,Auto,31,0.56,4,Single,High School,Rejected
33,51816,691,139940,Education,11,0.63,9,Single,High School,Rejected
58,69134,776,46274,Personal,38,0.17,1,Single,High School,Approved
53,94042,850,43718,Personal,34,0.11,1,Single,Bachelor,Approved
50,86174,829,46682,Business,29,0.3,9,Single,Bachelor,Approved
21,63976,739,35653,Business,1,0.47,7,Divorced,Master,Approved
50,90060,752,147609,Home,30,0.41,2,Married,Bachelor,Rejected
31,68372,689,35401,Home,9,0.51,11,Divorced,Master,Approved
38,88783,785,86690,Business,18,0.29,10,Divorced,Master,Approved
65,85522,850,105613,Home,40,0.06,5,Married,High School,Approved
37,106141,850,142702,Personal,18,0.14,13,Married,Bachelor,Approved
73,91227,695,49293,Auto,40,0.43,4,Single,High School,Approved
25,53853,641,18416,Personal,6,0.51,1,Married,Bachelor,Approved
24,84428,764,121711,Business,4,0.06,12,Divorced,Master,Approved
20,20000,697,120037,Education,1,0.56,13,Single,High School,Rejected
34,61900,691,95935,Education,12,0.42,9,Divorced,Bachelor,Rejected
50,83503,762,144701,Business,32,0.34,6,Single,Bachelor,Rejected
65,111350,850,13360,Personal,40,0.26,11,Divorced,Bachelor,Approved
29,41556,722,17011,Home,11,0.59,13,Divorced,High School,Rejected
68,95800,825,45721,Home,40,0.48,14,Married,High School,Approved
39,60580,695,41069,Education,17,0.42,12,Married,High School,Approved
72,97803,697,58270,Business,40,0.24,6,Married,High School,Approved
39,62245,661,16227,Business,18,0.59,4,Married,High School,Rejected
63,102759,716,44587,Auto,40,0.35,13,Divorced,Bachelor,Approved
47,55023,654,66720,Education,26,0.39,2,Married,High School,Rejected
55,125590,830,73305,Business,37,0.36,8,Married,Master,Approved
55,110090,767,81028,Auto,34,0.24,8,Married,Bachelor,Approved
62,95621,733,58651,Home,40,0.4,3,Married,Bachelor,Approved
68,112358,747,56332,Education,40,0.45,7,Married,Bachelor,Approved
71,93296,850,73201,Education,40,0.28,14,Married,Bachelor,Approved
25,68034,713,48552,Business,4,0.39,7,Married,Master,Approved
44,68594,805,128938,Business,23,0.36,14,Single,High School,Rejected
44,58737,704,122230,Personal,22,0.49,5,Single,High School,Rejected
51,90950,705,98758,Home,30,0.31,5,Married,Bachelor,Rejected
38,63982,682,62300,Home,17,0.38,8,Single,High School,Approved
47,67905,745,31951,Auto,26,0.42,4,Single,High School,Approved
50,69748,789,25264,Auto,31,0.3,1,Married,High School,Approved
45,52262,826,24121,Personal,23,0.23,1,Single,High School,Approved
64,101092,847,89351,Home,40,0.25,9,Single,Bachelor,Rejected
50,60252,796,55539,Auto,28,0.41,4,Married,High School,Approved
22,59226,700,34218,Home,2,0.31,1,Divorced,Master,Approved
65,100347,850,49867,Home,40,0.31,13,Married,Bachelor,Approved
36,75541,817,6316,Auto,15,0.44,2,Divorced,Bachelor,Approved
21,45734,654,42972,Business,0,0.5,10,Married,Bachelor,Rejected
52,130472,679,91924,Business,30,0.53,7,Single,Master,Approved
66,69864,732,97700,Auto,40,0.26,2,Married,High School,Rejected
34,85633,713,134079,Personal,15,0.49,1,Married,Master,Rejected
61,100484,715,109082,Education,40,0.66,10,Single,Bachelor,Rejected
45,69939,727,144151,Home,23,0.37,14,Single,Bachelor,Rejected
47,82202,782,65887,Education,25,0.34,9,Married,Bachelor,Approved
46,69453,707,40862,Auto,27,0.31,14,Single,High School,Approved
63,115778,850,132677,Home,40,0.19,5,Married,Bachelor,Approved
70,105912,735,78118,Education,40,0.48,14,Single,Bachelor,Approved
23,30571,747,79548,Business,5,0.34,13,Married,High School,Rejected
52,93342,790,109319,Personal,30,0.33,4,Married,Bachelor,Rejected
58,81703,653,85066,Education,36,0.45,4,Single,High School,Rejected
